code, name
9199,UNDISTRIBUTED PANEL/IPA FUNDS
9198,OTHER ENVIRONMENT
008P,FMLoB
7949,LIFE IN TRANSITION (LiT)
7238,ENG ITR CORE ACTIVITIES
7239,ENG BIOCOMPLEXITY CORE ACTIVITIES
1807,
3783,
8029,Comp&Data Driven Mat Res(CDMR)
8999,
3786,
3787,
1800,Research Experience for Vets
8990,
1808,
5564,ENERGY STORAGE
4991,
6235,
V020,
V405,
X186,
170E,Interagency Agreements
9130,RES IMPROVE IN MINORITY INSTIT
7302,MENTOR THR CRIT TRANS PTS IN THE MAT SCI
7303,MATH SCI PRIORITY AREA: INTERDISCIPLINAR
1948,SYNTHESIS
7301,RES TRAINING GROUPS IN THE MATH SCIENCES
9289,FORMAL METHOD SOFWARE ENG INIT
149E,Granular systems
7304,ERE General
X506,
9285,CONSRV & RESTOR BIOL SPEC COMP
9284,PRC SCIENTIST SUPPLEMENTS
7308,BE-UF: ECOL OF INFECTIOUS DISE
9286,APPLICATION SPECIF COMPUT SYST
9281,EDUCATIONAL SUPPLEMENTS (CISE)
1254,INSTRU DEVEL FOR NANO SCI & ENG (NANO95)
1944,BIMOLECULAR PROCESSES
9282,MINORITY GRADUATE RESEARCH
0,DATA NOT AVAILABLE
1527,LARGE-SCALE DYNAMIC METEOROLOG
1520,COMPUTING FACILITIES
1521,AERONOMY
1991,CHEMISTRY PROJECTS
1250,OLD-THEORETICAL PHYSICS
1622,SUBMARINE GEOPHYSICS
2851,COORD EXP RESEARCH FACILITIES
1251,LASER INTER GRAVIT WAVE OBSERV
5180,ANTARCTIC LOGISTIC SUP-OTH NAT
1490,FUNDAMNTL RES IN EMERG & CRITI
1491,BIOTECH, BIOCHEM & BIOMASS ENG
1492,EMERGING TECHNOLOGIES INITIAT
1493,LIGHTWAVE TECHNOLOGY
1494,NEUROENGINEERING
1495,COMPUTATIONAL ENGINEERING
1496,GEOTECHNICAL II
1497,ARCHITECTURE & MECHAN SYSTEMS
1498,STRUCTURES II
1499,EARTHQUAKE SYSTEMS INTEGRATION
V242,
T961,
1994,BIOINFORMATICS PROGRAM
1700,MATERIALS, NOT ELSEWHERE CLASF
1701,MATERIALS RESEARCH-IUC
1702,NSFENET CONNECTIONS PROGRAM --NLM FUNDS
1394,DISSERTATIONS
1704,APPLICATIONS SYSTEMS & SOFTWAR
1705,BIOLOGY & INFORMATION TECHNOLO
1706,DIGITAL GOVERNMENT
5260,ARCTIC RESEARCH COMMISSION
1708,QuBIC
1709,CISE EDUCAT RES & CURRIC DEVEL
126E,CENTERS: HAZARD MIT & WARNING
7736,DOD ASSURE PROGRAM
M576,
6405,
1258,TOPOLOGY AND FOUNDATIONS
k629,
X474,
1390,CULTURAL ANTHROPOLOGY
1629,BE: Non-Announcement Research
1128,POP & COMMUNITY ECOL CLUSTER
1129,LONG-TERM PROJCTS IN ENVIR BIO
8609,Other Energy Research
4576,
1120,DIVISION RESERVE - BSR
1121,ECOLOGY
1122,SYSTEMATIC BIOLOGY
1123,POPULAT BIOLOGY & PHYSIOL ECOL
8606,EXTREEMS-QED
8607,Solar Energy Capture&Conver
8604,Fuel Cells
